1|1|1|2|23.07.2018 21:08:38
1|1|1|2|23.07.2018 21:08:38
1|1|1|2|23.07.2018 21:08:46
1|1|1|2|23.07.2018 21:08:59
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
1|1|1|2|23.07.2018 21:09:16
15|15|15|15|23.07.2018 21:27:39
15|15|15|15|23.07.2018 21:27:39
15|15|15|20|23.07.2018 21:27:44
15|15|15|20|23.07.2018 21:27:44
15|15|15|15|23.07.2018 21:29:29
15|15|15|15|23.07.2018 21:29:29
15|15|15|10|23.07.2018 21:29:33
15|15|15|10|23.07.2018 21:29:33
15|8|15|10|23.07.2018 21:29:36
6|8|15|10|23.07.2018 21:29:38
6|8|10|10|23.07.2018 21:29:43
6|8|10|10|23.07.2018 21:29:43
6|10|10|10|23.07.2018 21:29:46
14|10|10|10|23.07.2018 21:29:48
7|10|10|10|23.07.2018 21:29:51
7|10|100|10|23.07.2018 21:29:53
7|10|100|10|23.07.2018 21:29:53
17|10|10|10|23.07.2018 21:29:57
